food_id,protein,fat,endorsement
1899,0.1,2.7,Low Fat
1906,1.8,0.2,Low Fat
2216,22.7,5.0,Moderate Food
1076,1.7,1.0,Low Fat
1706,8.1,3.6,Low Fat
1365,0.093,0.017,Low Fat
869,4.1,1.9,Low Fat
1095,4.5,0.3,Low Fat
1101,42.0,19.9,Premium Food
618,5.8,12.0,Premium Food
166,9.2,7.9,Moderate Food
822,1.1,0.6,Low Fat
1307,0.5,0.3,Low Fat
40,5.8,1.4,Low Fat
2213,48.4,10.4,Premium Food
1171,1.8,0.3,Low Fat
1839,1.4,0.017,Low Fat
611,3.7,1.0,Low Fat
248,44.9,9.4,Moderate Food
1566,2.7,8.4,Moderate Food
557,0.5,0.3,Low Fat
2083,0.7,0.1,Low Fat
1236,5.8,1.9,Low Fat
1404,0.7,0.4,Low Fat
1167,0.1,0.056,Low Fat
2126,6.3,3.3,Low Fat
421,13.6,13.4,Premium Food
1806,79.1,20.3,Premium Food
241,3.8,0.2,Low Fat
269,1.3,0.2,Low Fat
1221,27.7,16.6,Premium Food
2238,0.071,0.017,Low Fat
1953,41.2,72.1,Premium Food
1776,3.7,0.4,Low Fat
108,6.7,22.3,Premium Food
466,0.1,0.032,Low Fat
602,1.7,0.3,Low Fat
106,14.6,28.7,Premium Food
413,0.7,0.2,Low Fat
2054,24.9,8.4,Moderate Food
544,1.0,0.3,Low Fat
1805,0.0,5.2,Moderate Food
314,25.7,16.4,Premium Food
1036,15.5,34.9,Premium Food
446,12.3,3.2,Low Fat
526,1.7,0.3,Low Fat
240,15.2,0.6,Low Fat
1348,0.09,0.9,Low Fat
1646,0.3,0.029,Low Fat
592,0.2,0.3,Low Fat
2237,5.2,3.6,Low Fat
2207,8.4,2.1,Low Fat
1365,0.093,0.017,Low Fat
1128,9.0,6.1,Moderate Food
883,0.2,0.062,Low Fat
964,4.7,6.6,Moderate Food
1035,3.0,2.9,Low Fat
1374,9.2,0.8,Low Fat
2167,5.5,1.6,Low Fat
2186,0.8,0.2,Low Fat
14,0.053,0.058,Low Fat
992,19.2,16.3,Premium Food
1359,1.7,0.2,Low Fat
1721,4.1,14.8,Premium Food
920,7.0,7.7,Moderate Food
434,11.3,2.8,Low Fat
204,2.0,0.2,Low Fat
1573,22.8,15.2,Premium Food
480,0.2,0.094,Low Fat
1326,0.1,0.8,Low Fat
1769,33.1,2.4,Low Fat
694,0.8,0.2,Low Fat
649,3.0,4.0,Low Fat
1369,1.3,0.2,Low Fat
2360,3.1,0.5,Low Fat
180,24.0,5.8,Moderate Food
1523,5.5,2.9,Low Fat
1203,3.7,3.9,Low Fat
1918,1.0,0.3,Low Fat
402,0.0,0.032,Low Fat
1929,54.8,2.9,Low Fat
964,4.7,6.6,Moderate Food
989,2.4,2.8,Low Fat
1114,53.9,76.0,Premium Food
1629,4.3,0.2,Low Fat
368,7.0,2.5,Low Fat
1505,0.1,0.1,Low Fat
1166,0.09,0.071,Low Fat
630,0.3,0.03,Low Fat
1226,0.0,218.0,Premium Food
1059,7.4,0.9,Low Fat
1962,5.6,1.7,Low Fat
1878,0.0,218.0,Premium Food
1697,24.1,19.8,Premium Food
586,33.4,1.5,Low Fat
1519,6.3,13.7,Premium Food
1634,2.4,12.4,Premium Food
1645,0.2,0.086,Low Fat
583,0.0,3.4,Low Fat
417,11.8,10.1,Premium Food
375,0.8,1.6,Low Fat
802,22.1,29.9,Premium Food
1543,17.7,7.3,Moderate Food
1838,3.1,0.2,Low Fat
240,15.2,0.6,Low Fat
759,2.8,0.5,Low Fat
496,0.8,3.2,Low Fat
1234,0.8,1.7,Low Fat
2349,23.6,1.7,Low Fat
1675,2.3,0.8,Low Fat
1827,18.6,9.3,Moderate Food
1924,7.5,2.1,Low Fat
484,0.2,7.1,Moderate Food
1506,0.1,0.3,Low Fat
168,14.0,7.3,Moderate Food
187,32.2,29.8,Premium Food
1818,1.4,22.8,Premium Food
582,0.1,5.3,Moderate Food
1557,4.7,6.2,Moderate Food
2281,0.0,11.5,Premium Food
2044,1.8,2.3,Low Fat
1718,2.5,1.4,Low Fat
1178,1.8,8.9,Moderate Food
2047,0.02,0.084,Low Fat
1143,0.038,0.076,Low Fat
1686,9.2,0.3,Low Fat
1673,32.8,11.0,Premium Food
86,0.031,0.053,Low Fat
853,5.2,9.4,Moderate Food
29,0.7,0.075,Low Fat
520,4.7,2.6,Low Fat
1614,20.4,16.4,Premium Food
980,0.0,0.042,Low Fat
1980,11.9,3.1,Low Fat
1532,3.8,0.7,Low Fat
339,38.9,12.2,Premium Food
1765,1.5,2.0,Low Fat
171,47.1,35.6,Premium Food
1651,22.6,27.4,Premium Food
605,8.1,4.5,Low Fat
2065,11.6,8.8,Moderate Food
523,0.0,0.2,Low Fat
1580,34.2,7.3,Moderate Food
2292,0.0,13.6,Premium Food
1027,0.2,0.2,Low Fat
480,0.2,0.094,Low Fat
300,0.2,1.9,Low Fat
148,46.0,43.6,Premium Food
35,31.2,25.3,Premium Food
435,2.5,3.2,Low Fat
1313,1.6,0.5,Low Fat
1397,0.0,12.0,Premium Food
934,1.0,0.2,Low Fat
407,8.3,17.0,Premium Food
427,17.9,2.2,Low Fat
1405,0.001,0.2,Low Fat
883,0.2,0.062,Low Fat
1306,1.2,0.2,Low Fat
2021,0.045,0.059,Low Fat
319,5.9,2.0,Low Fat
345,2.8,7.9,Moderate Food
1083,1.3,0.046,Low Fat
2122,5.2,4.7,Low Fat
2185,1.6,0.3,Low Fat
1727,0.2,1.9,Low Fat
1775,0.6,0.1,Low Fat
790,11.9,17.6,Premium Food
1496,0.5,0.1,Low Fat
1145,9.3,2.8,Low Fat
2012,2.7,1.0,Low Fat
1967,3.8,0.4,Low Fat
2391,0.0,4.4,Low Fat
2067,13.0,6.2,Moderate Food
1638,0.4,0.3,Low Fat
471,18.1,17.0,Premium Food
2125,2.2,0.7,Low Fat
1928,0.0,9.9,Moderate Food
1817,25.2,34.1,Premium Food
2385,12.9,3.8,Low Fat
1959,4.9,0.9,Low Fat
1679,1.8,0.2,Low Fat
100,26.7,18.5,Premium Food
1963,1.4,0.3,Low Fat
1415,2.0,0.5,Low Fat
2316,1.2,0.2,Low Fat
1629,4.3,0.2,Low Fat
2139,6.2,11.6,Premium Food
275,14.7,5.4,Moderate Food
1598,51.4,53.6,Premium Food
1934,0.1,0.1,Low Fat
2151,18.9,2.4,Low Fat
146,3.5,3.9,Low Fat
1362,1.4,0.4,Low Fat
757,6.7,4.2,Low Fat
173,4.6,7.4,Moderate Food
321,1.5,0.3,Low Fat
379,12.2,10.4,Premium Food
1405,0.001,0.2,Low Fat
1145,9.3,2.8,Low Fat
1809,3.6,3.3,Low Fat
420,23.4,12.4,Premium Food
126,0.1,0.053,Low Fat
663,0.9,5.0,Moderate Food
1345,0.2,0.082,Low Fat
1183,8.1,1.3,Low Fat
1433,6.2,13.5,Premium Food
1304,0.7,1.3,Low Fat
1998,0.01,0.008,Low Fat
844,0.01,0.024,Low Fat
502,0.9,1.7,Low Fat
1083,1.3,0.046,Low Fat
2157,14.1,6.3,Moderate Food
1483,4.3,6.1,Moderate Food
903,21.9,67.0,Premium Food
1929,54.8,2.9,Low Fat
159,0.7,0.6,Low Fat
449,22.8,45.6,Premium Food
1959,4.9,0.9,Low Fat
677,0.2,0.018,Low Fat
59,1.5,0.07,Low Fat
2230,86.5,35.4,Premium Food
565,0.0,71.5,Premium Food
1641,58.4,3.2,Low Fat
1268,4.3,3.4,Low Fat
638,6.0,0.3,Low Fat
753,0.7,0.2,Low Fat
2195,0.0,0.069,Low Fat
1922,0.5,0.3,Low Fat
2341,15.4,1.5,Low Fat
2015,2.8,8.8,Moderate Food
1232,3.7,14.1,Premium Food
564,1.7,0.5,Low Fat
1034,6.0,2.8,Low Fat
1962,5.6,1.7,Low Fat
1389,23.9,3.3,Low Fat
416,29.7,23.2,Premium Food
341,2.6,0.6,Low Fat
1118,62.5,53.5,Premium Food
1621,12.1,35.4,Premium Food
2318,0.1,0.003,Low Fat
1192,4.2,4.2,Low Fat
652,0.0,0.3,Low Fat
1882,0.3,0.007,Low Fat
494,1.1,4.7,Low Fat
277,2.9,9.8,Moderate Food
2160,495.6,158.9,Premium Food
1035,3.0,2.9,Low Fat
1958,25.4,4.2,Low Fat
1966,6.4,0.9,Low Fat
705,1.5,0.4,Low Fat
1047,50.2,3.5,Low Fat
1773,0.0,3.1,Low Fat
1322,76.3,2.7,Low Fat
1288,1.4,0.1,Low Fat
1922,0.5,0.3,Low Fat
2019,23.1,76.1,Premium Food
1857,39.8,8.6,Moderate Food
353,39.8,3.5,Low Fat
2368,2.0,0.5,Low Fat
1108,16.1,14.8,Premium Food
517,0.8,0.4,Low Fat
1123,5.8,1.3,Low Fat
208,24.7,31.7,Premium Food
1820,41.1,39.3,Premium Food
534,3.8,8.0,Moderate Food
492,1.8,3.9,Low Fat
1894,0.9,0.2,Low Fat
1618,15.2,64.2,Premium Food
2216,22.7,5.0,Moderate Food
806,3.4,4.0,Low Fat
50,0.2,0.3,Low Fat
386,2.0,9.7,Moderate Food
1607,39.4,11.2,Premium Food
418,9.2,10.1,Premium Food
557,0.5,0.3,Low Fat
2077,1.5,0.1,Low Fat
1381,24.7,1.6,Low Fat
2372,4.6,25.6,Premium Food
497,2.6,19.2,Premium Food
812,39.2,2.3,Low Fat
437,16.2,23.7,Premium Food
1279,13.6,1.0,Low Fat
2352,54.0,29.7,Premium Food
504,5.9,1.4,Low Fat
2268,30.4,1.9,Low Fat
1246,5.2,15.4,Premium Food
1184,13.7,1.6,Low Fat
88,0.3,0.089,Low Fat
2064,35.7,48.9,Premium Food
1370,2.1,0.5,Low Fat
621,5.7,3.1,Low Fat
2066,6.1,8.8,Moderate Food
299,5.5,2.6,Low Fat
273,0.7,0.3,Low Fat
50,0.2,0.3,Low Fat
1961,8.1,2.5,Low Fat
2299,0.0,1.7,Low Fat
1442,3.8,8.5,Moderate Food
2207,8.4,2.1,Low Fat
360,1.5,0.3,Low Fat
86,0.031,0.053,Low Fat
2075,0.6,0.2,Low Fat
2054,24.9,8.4,Moderate Food
966,22.0,9.5,Moderate Food
873,2.4,5.6,Moderate Food
1988,14.4,6.0,Moderate Food
352,13.9,1.2,Low Fat
656,44.9,2.4,Low Fat
2110,9.2,4.7,Low Fat
1707,8.5,3.6,Low Fat
2147,8.8,23.9,Premium Food
1738,65.5,12.3,Premium Food
2142,0.4,0.096,Low Fat
1667,0.4,0.02,Low Fat
1620,21.9,1.4,Low Fat
2196,0.0,75.0,Premium Food
2340,7.5,0.8,Low Fat
2366,14.2,0.8,Low Fat
2135,2.1,6.2,Moderate Food
1487,1.5,8.0,Moderate Food
303,1.8,0.2,Low Fat
423,1.7,0.5,Low Fat
460,38.6,12.1,Premium Food
2381,6.9,0.1,Low Fat
337,0.3,0.061,Low Fat
384,6.0,3.5,Low Fat
2322,15.3,4.0,Low Fat
1714,16.9,5.2,Moderate Food
1199,0.037,11.5,Premium Food
1546,0.0,13.6,Premium Food
2147,8.8,23.9,Premium Food
2334,15.9,3.0,Low Fat
971,5.5,1.9,Low Fat
462,1.3,0.2,Low Fat
606,0.0,14.0,Premium Food
888,0.0,9.4,Moderate Food
453,6.6,5.5,Moderate Food
1373,1.0,0.4,Low Fat
1722,4.2,0.9,Low Fat
1024,0.0,2.0,Low Fat
66,6.2,5.4,Moderate Food
1858,3.1,0.3,Low Fat
1515,15.4,1.1,Low Fat
1110,75.7,11.8,Premium Food
573,4.5,9.7,Moderate Food
787,134.7,8.4,Moderate Food
1166,0.09,0.071,Low Fat
2312,5.3,2.0,Low Fat
1670,3.4,0.7,Low Fat
1067,2.4,0.2,Low Fat
1006,1.4,9.0,Moderate Food
2351,18.3,10.0,Moderate Food
1467,0.2,8.2,Moderate Food
1220,39.7,21.4,Premium Food
1205,0.4,0.033,Low Fat
1822,29.7,28.0,Premium Food
1126,0.0,12.8,Premium Food
456,20.2,14.3,Premium Food
121,52.2,161.3,Premium Food
1214,0.043,0.4,Low Fat
825,22.6,27.4,Premium Food
2085,1.4,0.2,Low Fat
835,20.2,3.1,Low Fat
1660,2.3,0.4,Low Fat
1556,55.8,15.4,Premium Food
561,1.9,18.3,Premium Food
1733,0.8,0.2,Low Fat
829,5.3,1.9,Low Fat
2131,1.9,0.3,Low Fat
1372,9.0,4.3,Low Fat
1846,12.1,6.4,Moderate Food
381,11.5,10.5,Premium Food
104,0.0,2.0,Low Fat
149,83.6,86.5,Premium Food
1489,44.5,3.1,Low Fat
1085,0.6,0.3,Low Fat
1665,0.2,0.075,Low Fat
333,1.2,0.2,Low Fat
2335,3.9,2.5,Low Fat
1581,35.6,6.6,Moderate Food
1752,0.0,13.6,Premium Food
1869,1.4,3.8,Low Fat
2362,8.3,12.7,Premium Food
477,0.9,0.2,Low Fat
1417,0.4,0.1,Low Fat
624,66.6,67.6,Premium Food
1011,0.8,0.2,Low Fat
2195,0.0,0.069,Low Fat
744,0.1,0.063,Low Fat
204,2.0,0.2,Low Fat
2366,14.2,0.8,Low Fat
2237,5.2,3.6,Low Fat
1101,42.0,19.9,Premium Food
